,track_name,artist_name,album_name,album_img,track_popularity,track_open_spotify_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1,DNA,BTS,Love Yourself <U+627F> 'Her',https://i.scdn.co/image/d69dbdee8294ad485658afd4cf9c1eee3d03a5e2,73,https://open.spotify.com/track/5SE57ljOIUJ1ybL9U6CuBH,0.598,0.775,C#,-4.035,minor,0.0545,0.022,0,0.0677,0.687,129.819,223123,4
2,Pass The Dutchie,Musical Youth,Anthology,https://i.scdn.co/image/46ff72e6ba340460766431800d2d6086a786be61,8,https://open.spotify.com/track/4s4KlGfd3tBaSflx18R5jX,0.8,0.418,G,-14.345,major,0.0942,0.447,0,0.315,0.966,149.749,205427,4
3,Hold Me,Menudo,La Historia,https://i.scdn.co/image/e3afbe0dd867586f88b34cdcf4999a73266cf89c,25,https://open.spotify.com/track/7JERIeYBD7Xrxoae3RYd1g,0.858,0.685,B,-7.875,minor,0.0388,0.028,0.000264,0.0623,0.978,118.928,248853,4
4,Dial My Heart,The Boys,Messages From The Boys,https://i.scdn.co/image/8caedfef84ed74ebd04437ea875df8d135ed3f9d,33,https://open.spotify.com/track/35Iy0Neh1ewQapV6n0td6X,0.722,0.66,B,-11.872,minor,0.0625,0.0229,0.0157,0.0566,0.798,100.56,264840,4
5,I'll Be Loving You (Forever),New Kids On The Block,Hangin' Tough,https://i.scdn.co/image/eca0dc34390f16036441c35eb6300a38f4f827e3,63,https://open.spotify.com/track/1cy5US2dffz6QGBAIzOGkq,0.598,0.282,B,-17.227,major,0.0256,0.282,0,0.105,0.305,134.706,263933,4
6,Ooh La La (I Can't Get Over You),Perfect Gentleman,Rated Pg,https://i.scdn.co/image/221c0f8acdcbbcb7016c4a3ee5407da2806179a4,16,https://open.spotify.com/track/1Sh7vfZkeIM03dMvFXJZHW,0.639,0.347,G,-11.425,minor,0.0273,0.478,1.85E-06,0.119,0.329,136.453,287452,4
7,Poison,Bell Biv DeVoe,Poison,https://i.scdn.co/image/e126f1f3340e968a44a3e5c99270ba54fd8b83d9,66,https://open.spotify.com/track/6m59VvDUi0UQsB2eZ9wVbH,0.829,0.573,F#,-10.316,minor,0.224,0.00216,0.00432,0.612,0.803,111.848,261853,4
8,All I Do Is Think of You,Troop,Attitude,https://i.scdn.co/image/08f4657a72800a054189651b48555522a9d5f301,54,https://open.spotify.com/track/4XhrowM5IKGCRrY2HzYBH3,0.534,0.7,G#,-8.71,minor,0.0446,0.0143,0,0.197,0.447,122.609,229053,4
9,The Girl I Used to Know,Brother Beyond,80's Love Songs,https://i.scdn.co/image/a80487e7d0ba5900c4a9461c6056317ea9e33e8e,0,https://open.spotify.com/track/2LxvikLgCOKDBiIIUOCAWN,0.465,0.886,C#,-9.477,major,0.0807,4.64E-05,0.0271,0.325,0.954,185.595,254642,4
10,I Like The Way,Hi-Five,Greatest Hits,https://i.scdn.co/image/9fda53006f3be19b52097414eb80fa9a08cded13,53,https://open.spotify.com/track/0flZtKtmkZMNqFF7V7Yfmu,0.724,0.692,C#,-5.109,major,0.0333,0.0595,0.0108,0.0316,0.732,104.086,350267,4
